id,name,followers,popularity,genres,spotify_url,pictureURL
3V3ChkwvlWDJtMFuOKfYiB,Gravity Kills,69941.0,32.0,"industrial rock, industrial, industrial metal, ebm",https://open.spotify.com/artist/3V3ChkwvlWDJtMFuOKfYiB,https://i.scdn.co/image/cb0eea9d9d4c40698242da120c760d4236c63b59
12OSqKGORygb2C6H36qKuj,Olivia Ruiz,176274.0,48.0,"variété française, chanson, french pop, french house",https://open.spotify.com/artist/12OSqKGORygb2C6H36qKuj,https://i.scdn.co/image/ab6761610000e5eb1901412c66270f5b3109d656
5mdAHLJRGPLxi0NYp0Ueic,Farewell to Freeway,2343.0,7.0,"post-hardcore, metalcore, screamo, emocore",https://open.spotify.com/artist/5mdAHLJRGPLxi0NYp0Ueic,https://i.scdn.co/image/ab67616d0000b273c430446675327fbcdd039633
0XD1a3uCKiWqcMnADrq489,The Sound Of Lucrecia,394.0,0.0,,https://open.spotify.com/artist/0XD1a3uCKiWqcMnADrq489,
1hwAhXzyuEUjug2pyNVSvg,DJ Cam,66820.0,43.0,"trip hop, downtempo, nu jazz, acid jazz",https://open.spotify.com/artist/1hwAhXzyuEUjug2pyNVSvg,https://i.scdn.co/image/ab6761610000e5eb7fe667047f1a760f42041fd3
0UGvFl1tJ49Co99gaXZH9Z,Arcturus,72526.0,29.0,"black metal, avant-garde, progressive metal, symphonic metal",https://open.spotify.com/artist/0UGvFl1tJ49Co99gaXZH9Z,https://i.scdn.co/image/e606b97a4a7aef9693e755e32509dd149fc1a6d7
6IiW5gzieiekaPLzGRCmUD,Winds,4817.0,7.0,"progressive metal, avant-garde, neoclassical, melodic metal",https://open.spotify.com/artist/6IiW5gzieiekaPLzGRCmUD,https://i.scdn.co/image/ab67616d0000b2735acc8e4cb55fe3b379670eea
7rpf45DdbpweG51Acze45i,Kay Starr,56509.0,43.0,"christmas, vocal jazz",https://open.spotify.com/artist/7rpf45DdbpweG51Acze45i,https://i.scdn.co/image/ab6761610000e5ebe38218257e0c311e50e74345
1TrwMxRrrlk0hZxJkw4jUF,Levellers,85142.0,44.0,"celtic rock, folk punk, folk rock, britpop",https://open.spotify.com/artist/1TrwMxRrrlk0hZxJkw4jUF,https://i.scdn.co/image/ab6761610000e5ebce66a874dfde28b4794258c8
4Om3ZoQAy1yw4caBOvMT2F,Mezo i Kasia Wilk,31760.0,37.0,,https://open.spotify.com/artist/4Om3ZoQAy1yw4caBOvMT2F,https://i.scdn.co/image/ab6761610000e5eb19e89cf067365f969e3b7f71
7GHMZNJ1eIrmVoLuJ9uIL4,Dentaku,35.0,0.0,"shibuya-kei, hyperpop",https://open.spotify.com/artist/7GHMZNJ1eIrmVoLuJ9uIL4,https://i.scdn.co/image/ab6761610000e5eb1576c6cd161f45600bf1209b
