userID,recommended_artists
2,"['Faithless', 'sayCeT', 'Cut Chemist', 'Thomas Dolby', 'Arcadia', 'Tycho', 'Lovage']"
3,"['Autechre', 'Pjusk', 'Arms and Sleepers', 'Mohave Triangles', 'Emeralds', 'Nurse With Wound', 'Ice Ages']"
4,"['Federico Miranda', 'Goto80', 'múm & Úrú Búrú Sextettinn', 'Secret Garden', 'Chris Bondy', 'Prins Thomas', 'Los Natas']"
5,"['The Smashing Pumpkins', 'Rush', 'Five Finger Death Punch', 'My Brightest Diamond', 'Beirut', 'The Magnetic Fields', 'The Clientele']"
6,"['J. Holiday', 'Tamia', 'Jon B.', 'Erika', 'Jodeci', 'Chrisette Michele', 'Joss Stone']"
7,"['Goto80', 'múm & Úrú Búrú Sextettinn', 'Federico Miranda', 'Carpenters', 'Kate Winslet', 'David Sylvian', 'Róisín Murphy']"
8,"['Federico Miranda', 'múm & Úrú Búrú Sextettinn', 'Goto80', 'Katy Perry', 'Maroon', 'Kay Starr', 'Kate Winslet']"
9,"['Orange_T', 'YUKI', 'globe', 'Luzmelt', 'SUGIZO', 'Wonder Girls', '東方神起']"
10,"['Siba e a Fuloresta', 'Móveis Coloniais de Acaju', 'Maglore', 'Andrew Bird', 'The Decemberists', 'Guided by Voices', 'The Vaccines']"
11,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Ferras', 'N-O-D', 'Maroon', 'The Partridge Family', 'Aaron Carter']"
12,"['Wax Angel', 'Therapy?', 'Digital Summer', 'Biffy Clyro', 'Cage the Elephant', 'Fair to Midland', '40 Below Summer']"
13,"['Ferras', 'múm & Úrú Búrú Sextettinn', 'Federico Miranda', 'Set Your Goals', 'The Spill Canvas', 'The Invalids', 'The Red Jumpsuit Apparatus']"
14,"['The Litter', 'The Dictators', 'The Black Keys', 'Stevie Ray Vaughan and Double Trouble', 'John Mayall & The Bluesbreakers Featuring Buddy Guy', 'Buddy Guy', 'John Lee Hooker']"
